Repository,Is Fork,Last Updated,ASN1C Source Last Updated,Status,Abandonment Date,Stars,Forks
santiagoangel/free5gc-stage-1,False,2022-10-21 00:20:35+00:00,2019-01-25 02:40:05+00:00,Abandoned,,1,0
OPENAIRINTERFACE/mce,False,2020-02-13 10:44:53+00:00,2020-01-08 08:46:36+00:00,Abandoned,,4,0
dkshitij29/oaic,False,2024-12-19 19:17:31+00:00,2024-11-24 21:09:04+00:00,Active,,0,0
Minglong2012/OAIC_sch_dApp,False,2023-09-22 16:21:48+00:00,2023-09-22 15:28:06+00:00,YoungRepo,,0,0
herlesupreeth/n3gpp_access,False,2022-01-27 09:14:19+00:00,2021-07-29 07:35:57+00:00,Abandoned,2022-01-27 09:14:19+00:00,1,0
philrod1/srsRAN-e2,False,2023-09-15 22:41:21+00:00,2022-03-15 06:11:02+00:00,UnknownFutureRepo,,0,0
denerkr/edgelb,False,2024-11-11 09:31:37+00:00,2024-09-27 22:20:51+00:00,Active,,0,0
LABORA-INF-UFG/Infocom2023-RIC-O-Demo,False,2023-05-24 16:21:36+00:00,2023-05-24 16:17:40+00:00,Active,,2,0
IIITV-5G-and-Edge-Computing-Activity/5G-Network-Setup-and-Testing,False,2024-12-07 14:16:23+00:00,2024-12-07 05:08:01+00:00,Active,,4,0
99shoes/oaicXapp,False,2024-01-24 04:34:33+00:00,2024-01-23 07:07:31+00:00,Active,,0,0
natanzi/srsran_test,False,2023-11-07 21:41:12+00:00,2023-11-07 19:39:51+00:00,Active,,0,0
ivlevaleksandr4/FastTrackTelecom,False,2024-04-26 20:48:58+00:00,2024-04-26 08:54:35+00:00,Active,,0,0
o-ran-sc/ric-app-kpimon-go,False,2024-05-22 09:57:31+00:00,2022-06-10 04:55:20+00:00,ActiveLessThan10CommitsThisYear,,5,0
openaicellular/flexric,False,2023-12-07 17:04:55+00:00,2023-06-23 12:21:32+00:00,Active,,2,0
peihaoY/xslice-oran,False,2025-01-18 01:00:54+00:00,2025-01-16 21:47:30+00:00,YoungRepo,,5,0
svinson1121/Open5GS-MME,False,2024-01-31 22:37:30+00:00,2019-04-27 14:54:30+00:00,UnknownFutureRepo,,2,0
a2labsllc/ids-xapp,False,2024-03-18 17:00:01+00:00,2023-06-23 12:21:32+00:00,Active,,0,0
SragZhran73/open5gs_radius,False,2024-10-02 18:23:30+00:00,2024-01-31 09:06:13+00:00,Active,,0,0
allbesmart/oaibox-flexric,False,2023-12-07 17:04:55+00:00,2023-06-23 12:21:32+00:00,Active,,1,0
gregoryw3/flexric,False,2023-12-15 10:17:55+00:00,2023-06-23 12:21:32+00:00,UnknownFutureRepo,,0,0
alinihad83/vanetza,False,2023-10-29 19:32:56+00:00,2019-09-19 21:04:48+00:00,Active,,0,0
Abdfikih/kpimon-version,False,2024-08-09 10:19:21+00:00,2022-06-10 04:55:20+00:00,Active,,0,0
hctsai1006/ric-app-kpimon-go-master,False,2024-09-19 19:36:11+00:00,2024-09-19 19:05:19+00:00,Active,,1,0
initChat/o-ran-e2-kpm,False,2024-08-30 09:12:35+00:00,2024-02-02 07:40:19+00:00,Active,,2,0
aferaudo/libe2ap_package,False,2024-11-05 09:15:47+00:00,2024-11-04 10:25:54+00:00,YoungRepo,,1,0
t-kolev/OSC-nRT-RIC,False,2025-01-22 16:43:29+00:00,2024-05-20 23:40:11+00:00,Active,,0,0
lfarizav/openair-cn,False,2021-03-02 22:03:23+00:00,2018-04-29 18:36:45+00:00,Abandoned,,3,0
Jinrgan/openair-cn,False,2019-09-30 13:46:32+00:00,2018-04-29 18:36:45+00:00,Abandoned,,0,0
SavoBit/openair-mme,False,2019-09-30 13:46:32+00:00,2018-04-29 18:36:45+00:00,Abandoned,,1,0
kennethrey13/openair-cn,False,2019-06-27 15:14:12+00:00,2018-04-29 18:36:45+00:00,Abandoned,,0,0
ThomasValerrianPasca/eNB_LWA,False,2018-04-01 19:00:43+00:00,2018-04-01 19:00:43+00:00,Abandoned,,0,0
VaporumCoin/VaporumCoin-daemon,False,2023-04-13 22:37:48+00:00,2019-11-25 16:40:59+00:00,ActiveLessThan10CommitsThisYear,,3,0
midu16/f1c-communication,False,2025-01-17 12:23:45+00:00,2025-01-07 15:39:42+00:00,Active,,1,0
5gnrhub/Asn1Copilot,False,2024-07-11 04:39:52+00:00,2024-07-11 04:39:52+00:00,YoungRepo,,0,0
gluenoob/Asn1Paging,False,2024-07-11 16:40:52+00:00,2024-07-11 04:39:52+00:00,YoungRepo,,0,0
andrepuschmann/asn1c_test_mini,False,2017-03-15 10:56:40+00:00,2017-03-08 17:47:22+00:00,Abandoned,,2,0
gimmeitorilltell/device_samsung_noblelte-common,False,2018-03-30 14:26:21+00:00,2017-12-21 14:30:38+00:00,Abandoned,,0,0
mao3511/V2X,False,2018-03-27 11:21:46+00:00,2018-03-21 08:48:10+00:00,Abandoned,,0,0
DigitalPrice/DP-Wallet,False,2024-01-05 20:23:46+00:00,2018-04-20 18:09:43+00:00,Active,,2,0
hempcoin-THC-project/KMD-THC,False,2019-06-15 06:32:28+00:00,2018-04-16 07:16:01+00:00,Abandoned,,1,0
ElosysIo/Elosys_Testnet,False,2024-04-17 06:21:51+00:00,2024-04-17 06:21:51+00:00,YoungRepo,,1,0
Komodo-Platform/komodo,False,2019-01-07 20:10:37+00:00,2018-04-16 07:16:01+00:00,Abandoned,,0,0
KseniyaShestakova/EPFL_internship,False,2024-02-04 13:00:04+00:00,2023-07-07 09:22:58+00:00,Active,,1,0
freudshow/qsvr,False,2023-01-25 03:30:16+00:00,2019-11-12 06:55:12+00:00,ActiveLessThan10CommitsThisYear,,4,0
joaorufino/docker-IT2Scoap,False,2018-09-24 14:25:23+00:00,,Abandoned,,0,0
VaporumCoin/VaporumOcean-0.7.2,False,2022-11-25 01:57:51+00:00,2022-10-31 14:13:10+00:00,Abandoned,2022-11-25 01:57:51+00:00,0,0
RTBCoin/RTBCoin-QT,False,2024-01-26 03:10:35+00:00,2024-01-26 03:10:35+00:00,YoungRepo,,1,0
boxtheta/asn1tools-ext,False,2024-07-13 17:45:21+00:00,2018-12-28 16:19:07+00:00,UnknownFutureRepo,,0,0
